,year,title,genre,avg_vote,movie_rating,duration,watchability
302,2006,Casino Royale,"Action, Adventure, Thrille",8.0,good,144,really long movie
303,2006,Kruistocht in spijkerbroek,"Adventure, Family, Fantasy",6.1,good,125,really long movie
304,2005,Flirt,"Romance, Comedy",5.8,okay,90,no data
305,2006,Kisses and Caroms,Comedy,4.4,okay,81,avg length movie
306,2005,The Last Sign,"Drama, Fantasy, Romance",3.3,okay,91,really long movie
307,2005,Pretty Persuasion,"Comedy, Drama",6.5,good,104,really long movie
308,2005,Slipstream,"Action, Sci-Fi, Thriller",4.5,okay,89,avg length movie
309,2005,Vers le sud,Drama,6.3,good,108,really long movie
310,2006,Curious George,"Animation, Adventure, Come",6.5,good,87,avg length movie
311,2005,The Good Humor Man,"Drama, Romance",6.0,okay,112,really long movie
312,2005,Heights,"Drama, Romance",6.9,good,93,really long movie
313,2005,Hide and Seek,"Drama, Horror, Mystery",6.0,okay,101,really long movie
314,2005,La historia del baúl rosado,"Crime, Drama, Mystery",6.2,good,97,really long movie
315,2006,The Penalty King,Comedy,5.5,okay,90,no data
316,2005,Rosario Tijeras,"Crime, Drama, Romance",6.3,good,126,really long movie
317,2005,Vet hard,"Action, Comedy, Crime",6.2,good,88,avg length movie
318,2005,Things to Do Before You're 30,"Comedy, Drama, Romance",5.6,okay,101,really long movie
319,2005,Die Bluthochzeit,"Action, Comedy, Drama",6.6,good,92,really long movie
320,2006,The Da Vinci Code,"Mystery, Thriller",6.6,good,149,really long movie
321,2005,Dallas Pashamende,Drama,6.5,good,93,really long movie
322,2005,Dark Water,"Drama, Horror, Mystery",5.6,okay,105,really long movie
323,2006,Jindabyne,"Crime, Drama, Mystery",6.3,good,123,really long movie
324,2005,Look Both Ways,"Drama, Mystery, Romance",7.0,good,100,really long movie
325,2005,Little Fish,"Crime, Drama, Romance",6.2,good,114,really long movie
326,2005,Planetfall,"Action, Sci-Fi, Western",3.0,okay,90,no data
327,2005,Kameleon 2,"Adventure, Comedy, Family",5.9,okay,105,really long movie
328,2005,Stealth,"Action, Adventure, Sci-Fi",5.1,okay,121,really long movie
329,2005,Vom Suchen und Finden der Liebe,"Comedy, Drama, Music",5.7,okay,107,really long movie
330,2006,Zoom,"Action, Adventure, Comedy",4.3,okay,83,avg length movie
331,2006,The Pink Panther,"Adventure, Comedy, Crime",5.6,okay,93,really long movie
332,2005,BloodRayne,"Action, Adventure, Fantasy",2.9,bad,95,really long movie
333,2005,Deepwater,"Crime, Mystery, Thriller",5.4,okay,93,really long movie
334,2005,Evil Aliens,"Comedy, Horror, Sci-Fi",5.3,okay,93,really long movie
335,2006,Love Comes to the Executioner,"Comedy, Drama, Romance",5.5,okay,89,avg length movie
336,2005,Mall Cop,Comedy,5.0,okay,87,avg length movie
337,2005,Mouth to Mouth,Drama,6.2,good,103,really long movie
